release site,year,released,sal_tot,sal_cvp,sal_swp,fall,winter,late_fall,dcc,CI,km,sac_in,exports,exp_prop_sac,length,ocean_adj,ci_cpue,km_z,sac_in_z,exports_z,length_z,ocean_adj_z,ci_cpue_z,CVP,SWP,CVP_z,SWP_z,OMR_z,SJ_Z,pro_z
lk_red,2000,1010,0,0,0,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,0,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.639202575,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,1996,1061,0,0,0,0,1,0,0,1,623.738619,68700,9069,0.132008734,60,0,0.562,0.868600654,1.867591302,1.055524256,-0.849692125,-0.639202575,-0.509749348,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,1996,1086,0,0,0,0,1,0,0,0,623.738619,68700,9069,0.132008734,59,0,0,0.868600654,1.867591302,1.055524256,-0.888037342,-0.639202575,-0.596515993,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,2000,1145,6,0,6,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,0,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.639202575,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,1996,1176,0,0,0,0,1,0,0,0,623.738619,68700,9069,0.132008734,75,14,0,0.868600654,1.867591302,1.055524256,-0.274513869,-0.611703558,-0.596515993,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,2000,1186,0,0,0,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,0,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.639202575,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,2000,1199,0,0,0,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,0,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.639202575,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,2000,1278,0,0,0,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,0,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.639202575,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,2000,1296,0,0,0,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,0,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.639202575,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
lk_red,1996,1411,0,0,0,0,1,0,0,0,623.738619,68700,9069,0.132008734,57,0,0,0.868600654,1.867591302,1.055524256,-0.964727776,-0.639202575,-0.596515993,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,1996,1432,0,0,0,0,1,0,0,0,623.738619,68700,9069,0.132008734,71,0,0,0.868600654,1.867591302,1.055524256,-0.427894738,-0.639202575,-0.596515993,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,1994,1466,0,0,0,0,1,0,0,0,623.738619,10900,4225,0.387614679,82,13,0,0.868600654,-0.901110766,-0.374792789,-0.00609735,-0.613667773,-0.596515993,1711,1374.142857,-0.556111282,-0.707972026,-0.460026555,-0.602798595,0.691385111
lk_red,1996,1512,0,0,0,0,1,0,0,0,623.738619,68700,9069,0.132008734,62,10,0,0.868600654,1.867591302,1.055524256,-0.773001691,-0.61956042,-0.596515993,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,1996,1515,0,0,0,0,1,0,0,0,623.738619,68700,9069,0.132008734,69,0,0,0.868600654,1.867591302,1.055524256,-0.504585172,-0.639202575,-0.596515993,4078.428571,3664.428571,1.117544314,0.416120862,-0.057692832,-0.543314896,-0.651779545
lk_red,2000,1545,0,0,0,0,1,0,0,0,623.738619,39700,6908,0.174005038,80,20,0,0.868600654,0.478450126,0.417432775,-0.082787784,-0.599918265,-0.596515993,2122.857143,5198.714286,-0.264948533,1.169162131,-0.802762443,-0.315294049,-0.431096293
